id,outputs
a0bcea59,"['144328315.93417865', '-2340226.667669695', '424592.04056673124', '-743943.1165925987', '-3229120.9198957616']"
d90f8e29,"['83649.39638329572', '76526.58343770652', '27198.20409231033', '53620.959005029305', '91629.42839403222']"
43ec5c10,"['-68479660.82215975', '-2216101.782742441', '-143604.0941223462', '-542787.7825871096', '11938473.26202123']"
630d99b1,"[0, 0, 0, 0, 0]"
67aa0855,"[0, 0, 0, 0, 0]"
4c37ccc4,"['-447160.2106713744', '-366710.29198294214', '-7494.747514854771', '-415211.5212224736', '-14451.374514140007']"
072d5b93,"[0, 0, 0, 0, 0]"
e07b533b,"[0, 0, 0, 0, 0]"
b2d7f3af,"['229.2659537215062', '54.60808508584027', '70.04978683113883', '139.60607519630278', '234.34506431157493']"
be0d9e96,"['0.0167357219643875', '-1.585105710007449-0.5878238360909607j', '-0.969074745326191', '3.19060400992265e-5', '-1.68477437323181']"
d9081d2f,"['16.107540280534764', '11.67060082257179', '11.571649385288993', '8.563559263821102', '77.16276429784413']"
e66149ee,"['267', '267', '267', '267', '267']"
42212206,"['7844.76436216145', '-0.185545993365730', '-0.184385594262030', '-0.155600389058171', '319101.802509321']"
d8c05964,"['-137589.86097959976', '154459.5205570519', '100844.01342949823', '-120129.95081878777', '-591425.1854261338']"
643fea3c,"['55297.14656209058', '88.80381178170394', '-782.2229538362548', '30.279094267154388', '209.93328628248187']"
882f9ae9,"['9.433115599317645', '7.670712002498641', '3.3853909184982083', '3.53213082036297', '6.985086175996477']"
2cd82552,"['-1966.0377802847179', '-16241.553221069484', '-14370.889929202438', '-13024.153925957798', '-11378.700363965034']"
9d5b1163,"['8651.612863454871', '42222.63695164329', '24732.922077340365', '7369.187981520715', '14234.299887820856']"
0522a32b,"['1.8304540921079855', '1.574885186054802', '2.068718381327825', '2.8478588409352352', '2.403299741922251']"
be340056,"['-2621.6184818545785', '-3891.8044598056686', '50107.979628384324', '148016.47418489272', '278746.7544616248']"
853ff956,"['871120.967439986', '-1001089.7081291757-407992.35129946517j', '3026952.70124710', '4483188.717854898+1886584.7212667097j', '-1972989.4437992803-760555.1636398948j']"
4581a6da,"['-1.46409926178795', '-1.4659952644315-0.016831386709549756j', '-1.46162229703839', '-1.46432948416885', '-1.46255554513563']"
cdcaefcf,"['-2940', '-961', '-736', '1311', '-2245']"
2ceb5edf,"['-5420.769513522892', '-5920.382429333344', '-8925.447284924689', '-7324.905057342303', '-6907.577851259262']"
66b9e2a4,"['-38', '-23', '-32', '-22', '-3']"
ce0467b1,"['-0.013028351771023582', '-7.49701119622328e-07', '-0.00018892415536745274', '-10.017015488226303', '-12.458139620210469']"
166c2f9f,"['-6635', '-7558', '-7330', '-7353', '-7625']"
94bf7c79,"[0, 0, 0, 0, 0]"
40df670c,"['-1875.489561473721', '-8383.481791681434', '-299.04607881499874', '-8.845184282937218', '-11.984275387666043']"
a1ba9e3b,"[0, 0, 0, 0, 0]"
1653b922,"['342.3793209905011', '252.76579636140718', '439.6682613703586', '-4128.736596968929', '221.69493100640028']"
daee6433,"['-4828.738233903871', '-5764.581464863337', '-6688.875962346143', '-6468.4325503961845', '-6063.584557307114']"
924d3d6e,"['32470.098804986817+11312.313731767392j', '35229.88557062762+13664.081067018755j', '23479.5700151783', '46780.56997382864+19624.342775780016j', '1541.46298590573']"
ecacf48f,"['0.9989341383367637', '0.9992098112464133', '0.9918801725398917', '0.9240838875863122', '0.9986107624854359']"
cabdcb71,"['-88.9324719555903', '-26.107575255252602', '28.611090741328432', '66.37068162307614', '0.04822525563515967']"
48dfb313,"[0, 0, 0, 0, 0]"
