id,outputs
49e1da0d,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
b8b0d7de,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
5b92f8e4,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
d989850c,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
27e021d0,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
da1b8ba7,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
2b9e3c52,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
4ff2b3ee,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
95f11cb3,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
bdef6f0e,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
1b82b439,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
948b0c1b,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
aa170701,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
5299b6ba,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
b00bfaaa,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
40b41f56,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
535075d8,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
15902640,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
a7c97b52,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
701474e5,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
de262a8c,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
cc887fee,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
18590ae3,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
1e1db868,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
80c8c528,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
8f01a138,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
0f82d638,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
e5e41c66,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
ae4ca2e7,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
b8a6ee83,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
8faa6abd,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
b1a36b3c,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
ed86dc20,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
e016aaf2,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
0d6554f3,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
e47aea02,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
8ecee654,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
d23d6137,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
63a78e7a,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
ebf1b25d,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
a6e75ea7,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
77ac80b8,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
aaefe066,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
f9557351,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
c2831424,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
